id,genre_name,avg_rating,variance,total_ratings
1,Action,3.447984331646809,1.1044546266396549,30635
2,Western,3.583937823834197,1.0243141900149613,1930
3,Children,3.412956125108601,1.115128091047523,9208
4,Fantasy,3.4910005070136894,1.0788719305329972,11834
5,Crime,3.658293867274144,0.9893750026056728,16681
6,Documentary,3.797785069729286,0.6731560095962801,1219
7,Sci-Fi,3.455721162210752,1.14774638135645,17243
8,Musical,3.5636781053649105,0.97860063312457,4138
9,Romance,3.5065107040388437,1.0474111205056236,18124
10,Thriller,3.4937055799183425,1.051442364336184,26452
11,IMAX,3.618335343787696,0.9764011857799554,4145
12,Animation,3.6299370349170004,0.940248629210729,6988
13,Mystery,3.632460255407871,1.0125901408025413,7674
14,Comedy,3.3847207640898267,1.1375092922240193,39053
15,Drama,3.6561844113718758,0.958701466409027,41928
16,(no genres listed),3.4893617021276597,1.4835800185013877,47
17,Film-Noir,3.920114942528736,0.7867640834358425,870
18,Adventure,3.5086089151939075,1.0589904530479994,24161
19,War,3.8082938876312,0.9575289741310133,4859
20,Horror,3.258195034974626,1.3055141079095016,7291
