id,code,name
1,en,English
2,fr,French
3,zh,Mandarin
4,it,Italian
5,fa,Persian
6,nl,Dutch
7,de,German
8,cn,Cantonese
9,ru,Russian
10,mk,Macedonian
11,es,Spanish
12,ja,Japanese
13,sr,Serbian
14,bn,Bengali
15,wo,Wolof
16,,
17,cs,Czech
18,sv,Swedish
19,da,Danish
20,pt,Portuguese
21,no,Norwegian
22,hu,Hungarian
23,tr,Turkish
24,pl,Polish
25,ar,Arabic
26,sh,Serbo-Croatian
27,ta,Tamil
28,bo,Tibetan
29,fi,Finnish
30,bs,Bosnian
31,hi,Hindi
32,iu,Inuktitut
33,he,Hebrew
34,ko,Korean
35,ku,Kurdish
36,is,Icelandic
37,ps,Pushto
38,th,Thai
39,vi,Vietnamese
40,mn,Mongolian
41,tn,Tswana
42,xx,No Language
43,ro,Romanian
44,et,Estonian
45,lt,Lithuanian
46,id,Indonesian
47,ca,Catalan
48,el,Greek
49,bg,Bulgarian
